ID,SURFY,Town,Cunha,Diaz-Ramos,LogAPC
A0FGR8,0,1,1,0,-1.238087097
A1L0T0,0,1,0,0,
A2RU67,0,1,1,0,0.753031759
A5PLK6,0,1,1,0,2.079181246
A5YKK6,0,0,1,0,-1.065189032
A8MVW0,1,1,0,0,2.079181246
A8MWY0,1,1,1,0,2.079181246
B0YJ81,0,0,1,0,
O00255,0,1,0,0,
O00264,0,1,0,0,
O00299,0,1,0,0,-0.39052079
O00400,1,0,1,0,
O00478,1,1,1,1,2.079181246
O00481,1,1,1,1,1.57465696
O00592,1,1,1,1,2.079181246
O14672,1,1,1,1,0.644909724
O14683,0,1,1,0,-0.663273813
O14763,0,1,1,1,2.079181246
O14828,0,1,1,0,-0.548342409
O14880,0,1,0,0,-0.733240245
O15031,1,1,0,0,2.079181246
O15126,0,1,1,0,
O15127,0,1,1,0,
O15173,0,1,1,0,
O15197,1,1,1,1,1.400085065
O15260,0,1,0,0,
O15269,0,1,0,0,
O15270,0,1,0,0,
O15400,0,1,1,0,
O15427,0,0,1,1,0.688685846
O15431,1,1,1,1,2.079181246
O15533,0,1,0,0,
O15554,0,1,1,1,
O43157,1,1,0,0,2.079181246
O43169,0,1,0,0,
O43278,0,0,1,0,0.754548293
O43674,0,1,0,0,
O43676,0,1,0,0,
O43736,0,1,1,1,0.713457663
O43808,0,1,1,0,
O43813,0,0,0,1,-0.291516252
O60313,0,1,0,0,
O60353,1,0,1,0,2.079181246
O60427,0,1,1,0,
O60488,0,1,0,0,-1.570016178
O60602,1,0,1,1,2.079181246
O60636,1,1,1,0,2.079181246
O60669,1,0,1,1,2.079181246
O60779,1,0,1,0,2.079181246
O60831,0,0,1,0,
O75054,1,1,1,0,2.079181246
O75326,1,1,0,1,2.079181246
O75335,0,1,0,0,
O75352,0,1,1,0,2.079181246
O75387,1,0,1,0,2.079181246
O75396,0,1,0,0,-1.479550763
O75445,1,1,1,0,
O75477,0,1,0,0,
O75509,1,1,1,1,2.079181246
O75581,1,1,1,1,2.079181246
O75844,0,1,0,0,-1.723863111
O75882,1,1,1,1,1.730247179
