Name,Cytoplasm,Nucleus,Mitochondrion,Endoplasmic reticulum,Extracellular region,Cytoskeleton,Plasma membrane,Intracellular vesicle,Ribosome,Golgi apparatus,Vacuole,Endosome,Lysosome,Peroxisome,APC
ITA4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.41935667
CD2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3.917161483
CD5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.110838076
PTK7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.22534991
ICAM2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.892450683
TRBC1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.110642843
ICAM3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7.448469871
PTPRF,0,0,0,0,1,0,1,0,0,0,0,0,0,0,8.15168556
ITA5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.777737952
PTPRK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.732233429
EMB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.261558651
MOT1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6.737715083
IGSF8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.143244738
CD166,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4.390091031
PTCA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.131291177
SLAF5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.25
TVBL3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.234934311
LEUK,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2.445119294
CD48,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.060913454
MOT4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.88299012
NECT1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10.48766794
F234A,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.14763452
NPTN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.156545868
DSG2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16.7320054
TVA82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.285022779
SIT1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,25.21274807
TRAC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.498890197
MRP1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6.180948404
